Window,window,desired_return,atr_multiplier,OutOfSample_Start,OutOfSample_End,OutOfSample_Period,OutOfSample_Start Value,OutOfSample_End Value,OutOfSample_Total Return [%],OutOfSample_Benchmark Return [%],OutOfSample_Max Gross Exposure [%],OutOfSample_Total Fees Paid,OutOfSample_Max Drawdown [%],OutOfSample_Max Drawdown Duration,OutOfSample_Total Trades,OutOfSample_Total Closed Trades,OutOfSample_Total Open Trades,OutOfSample_Open Trade PnL,OutOfSample_Win Rate [%],OutOfSample_Best Trade [%],OutOfSample_Worst Trade [%],OutOfSample_Avg Winning Trade [%],OutOfSample_Avg Losing Trade [%],OutOfSample_Avg Winning Trade Duration,OutOfSample_Avg Losing Trade Duration,OutOfSample_Profit Factor,OutOfSample_Expectancy,OutOfSample_Sharpe Ratio,OutOfSample_Calmar Ratio,OutOfSample_Omega Ratio,OutOfSample_Sortino Ratio
1,25,0.012,8,0,4470,93 days 03:30:00,100000.0,136877.55447516163,36.87755447516163,111.59373689361081,100.0,2310.9193457381602,12.349790567137902,27 days 14:30:00,21,20,1,-68.43877723758078,50.0,17.93190365406726,-6.4262034665382455,6.311112599209233,-2.8000135454020145,2 days 20:20:59.999999999,2 days 03:12:00,2.154661112399984,1847.29966261996,3.1415018263638457,19.608456474558118,1.1009671964741938,4.759219519278936
2,25,0.012,8,0,4470,93 days 03:30:00,100000.0,76473.12543093583,-23.526874569064166,164.54716379168724,100.0,1449.716814461788,44.809833335334176,71 days 01:00:00,16,15,1,4199.4035273113695,26.666666666666668,22.53057020370329,-16.342666110733642,12.484146127343667,-6.851935487757115,3 days 19:30:00,2 days 01:05:27.272727272,0.6229587454732243,-1848.4185397583665,-0.9064102732821677,-1.4515607231081273,0.9718603705323712,-1.2713497329681356
3,45,0.005,6,0,4470,93 days 03:30:00,100000.0,130591.61067315303,30.59161067315303,-45.56007919462141,100.0,3125.3282937124127,23.956458579706144,33 days 16:00:00,27,26,1,-1487.8454419261398,42.30769230769231,18.169399372684488,-10.458961433554435,8.05296258091072,-3.6149920438679657,2 days 20:35:27.272727272,1 days 03:54:00,1.474815223508462,1233.825235195351,1.7829618208625724,7.705349462986168,1.0583340174179614,2.556034483329316
4,60,0.015,7,0,4470,93 days 03:30:00,100000.0,114018.08154901475,14.018081549014752,34.278651508623746,100.0,1734.7284246432214,17.558438314129866,41 days 00:00:00,18,17,1,5183.591084711472,41.17647058823529,9.628265627409599,-8.068227221391027,6.01829743159524,-3.143016311619569,2 days 16:55:42.857142857,2 days 02:00:00,1.283118203585073,519.6759096648991,1.4673721346467974,3.827662795270134,1.0491598474036672,2.133447036549547
5,40,0.01,7,0,4470,93 days 03:30:00,100000.0,114209.5981317034,14.209598131703402,16.979818762556896,100.0,2200.6810924803176,14.758226081675172,52 days 07:30:00,19,19,0,0.0,47.368421052631575,16.981133065217037,-6.001312515581992,4.687125904465711,-2.6513816071687493,2 days 16:43:20,2 days 00:18:00,1.4539685999244922,747.8735858791242,1.4509159151303574,4.628676480483615,1.0463530135389212,2.1418675614459812
6,40,0.01,7,0,4470,93 days 03:30:00,100000.0,127945.78204515629,27.945782045156285,-7.674312828520035,100.0,2676.6286271323656,21.21913375583037,25 days 12:00:00,22,22,0,0.0,40.909090909090914,22.99848176825007,-5.501045873311079,7.4791546905535675,-2.9135108981488576,2 days 15:26:40,1 days 07:02:18.461538461,1.5882358217174732,1270.2628202343767,2.346496339493036,7.665625670520449,1.0837486952881057,3.577082612714625
7,50,0.01,7,0,4470,93 days 03:30:00,100000.0,75150.88952208082,-24.849110477919183,-57.06030819693092,100.0,2160.3994311066353,39.84187161753546,59 days 05:00:00,24,23,1,2225.2708223049613,43.47826086956522,4.771639636769162,-9.06467692914056,2.435609456682939,-4.139651411148007,2 days 18:45:00,1 days 10:23:04.615384615,0.4480247712002958,-1177.1470130532248,-1.5469806976178888,-1.6905195046766242,0.9524225887934049,-2.1942111005702385
8,50,0.01,7,0,4470,93 days 03:30:00,100000.0,109951.34534810431,9.951345348104311,-2.0884742702368064,100.0,1830.0111183746624,14.925885666257921,32 days 06:30:00,18,18,0,0.0,50.0,12.445033045100628,-5.871003386290401,5.595166807728705,-4.205252291515814,2 days 20:30:00,1 days 07:16:40,1.2514757163170633,552.8525193391274,1.1709498470723672,3.016684028145132,1.0443017012143245,1.8586028449107148
9,65,0.02,4,0,4470,93 days 03:30:00,100000.0,98520.5939940249,-1.4794060059751062,-15.270776985492896,100.0,1261.4607632103919,13.386189754554717,51 days 16:30:00,13,13,0,0.0,30.76923076923077,6.046086659309102,-2.7255857418878207,3.4635934963142434,-1.6529439752396082,2 days 07:52:30,0 days 15:16:40,0.8984103260858487,-113.80046199808442,-0.07837604692226444,-0.42381035512639836,0.9941585566960377,-0.12567211690129543
10,65,0.02,4,0,4470,93 days 03:30:00,100000.0,86147.49701359042,-13.852502986409585,69.80816087158877,100.0,1418.5163670567101,16.444191733971163,63 days 20:30:00,15,15,0,0.0,26.666666666666668,3.0177130968704917,-3.876446984410989,2.355953793602603,-2.1726123179933383,1 days 13:15:00,0 days 14:19:05.454545454,0.38830331618599545,-923.5001990939694,-2.5251168290410373,-2.6909360625614984,0.8556907702773648,-3.383618240860179
11,35,0.005,1,0,4470,93 days 03:30:00,100000.0,108059.2541458195,8.059254145819503,7.680436382773781,100.0,3591.233360681806,3.304729746002925,38 days 21:00:00,34,34,0,0.0,38.23529411764706,7.331337926502823,-0.8430811486186548,1.2756189529460873,-0.4035377285004909,0 days 14:41:32.307692307,0 days 02:27:08.571428571,1.893519979711374,237.0368866417503,2.7837188411607454,10.739160985710656,1.2013402417199741,4.587917866603541
12,50,0.005,8,0,4470,93 days 03:30:00,100000.0,100187.65633819035,0.1876563381903543,-7.790442122769814,100.0,1731.3579130098844,9.603377885147008,79 days 13:30:00,17,17,0,0.0,41.17647058823529,5.238901715354233,-3.8582751292785815,1.7797046517285955,-1.1946751003496145,3 days 12:55:42.857142857,1 days 19:00:00,1.01511684960027,11.038608128844999,0.13364118991157947,0.07678170400678057,1.0049998817926755,0.1835309715314017
13,35,0.005,1,0,4470,93 days 03:30:00,100000.0,97314.28762776224,-2.685712372237758,67.43907239737965,100.0,3861.5721318152687,6.840873122207092,47 days 03:30:00,39,39,0,0.0,33.33333333333333,3.4113701111929315,-2.6313481129316156,0.7730650207352043,-0.4855115867957935,0 days 06:32:18.461538461,0 days 05:36:55.384615384,0.7853484667077876,-68.86441980096794,-0.7270603637157554,-1.4791632630073681,0.953383766323992,-1.0656709623288971
14,15,0.017,1,0,4470,93 days 03:30:00,100000.0,98639.2769852423,-1.3607230147577065,50.616000902970804,100.0,605.0289047385563,5.227227421394544,90 days 13:00:00,6,6,0,0.0,16.666666666666664,2.6873165093293694,-1.7101537964347995,2.6873165093293694,-0.7996259532709955,0 days 02:30:00,0 days 02:12:00,0.6637447354387189,-226.78716912628403,-0.6903866660271751,-0.999985164170372,0.8303482429951644,-1.0296997520550455
15,25,0.02,1,0,4470,93 days 03:30:00,100000.0,97170.72721909608,-2.8292727809039206,-17.112025900504378,100.0,1208.5272121545831,9.831346555384965,67 days 01:30:00,12,12,0,0.0,8.333333333333332,5.204957879204144,-1.5498981732140975,5.204957879204144,-0.7189818875587554,0 days 10:30:00,0 days 23:46:21.818181818,0.6435715672005201,-235.77273174199183,-0.5473527549294076,-1.0819713815474954,0.9604617833566179,-0.8805706365221276
16,25,0.01,1,0,4470,93 days 03:30:00,100000.0,96913.16310481759,-3.0868368951824086,10.355553812281482,100.0,1480.611753678018,3.1943749606580614,70 days 18:00:00,15,15,0,0.0,40.0,0.9063699500128546,-1.0797068736965343,0.2650978862505527,-0.5228878283944155,0 days 03:30:00,0 days 01:36:40,0.33636795449309664,-205.78912634549357,-1.9360490051508958,-3.619437139650009,0.7452362664772778,-2.7781135088441045
